title,time_published,summary,ticker_sentiment
McDonald's to temporarily close 850 stores in Russia,20220308T174544,McDonald's to temporarily close 850 stores in Russia The Associated Press - en Español,"[{'ticker': 'MCD', 'relevance_score': '0.695932', 'ticker_sentiment_score': '-0.0973', 'ticker_sentiment_label': 'Neutral'}]"
"McDonald's will temporarily close 850 restaurants in Russia, nearly 2 weeks after Putin invaded Ukraine",20220308T174936,"McDonald's announced Tuesday it will temporarily close 850 locations in Russia, nearly two weeks after Russian forces invaded Ukraine.","[{'ticker': 'MCD', 'relevance_score': '0.403264', 'ticker_sentiment_score': '-0.156926', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"McDonald's pausing Russia operations, temporarily closing restaurants",20220308T181600,"McDonald's will pause operations in Russia, including temporarily closing all of its restaurants in the country, in response to the ongoing invasion of Ukraine.","[{'ticker': 'MCD', 'relevance_score': '0.636213', 'ticker_sentiment_score': '-0.018802', 'ticker_sentiment_label': 'Neutral'}]"
U.S. stocks bounce after worst day since October 2020 as investors weigh ban on Russia oil imports,20220308T181900,U.S. stocks bounce after the worst day for the S&P 500 since October 2020 as investors weigh a ban on imports of Russian oil.,"[{'ticker': 'MCD', 'relevance_score': '0.105256', 'ticker_sentiment_score': '-0.001723', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's Temporarily Closing Its 850 Restaurants in Russia,20220308T183200,McDonald's Temporarily Closing All 850 Restaurants in Russia Barron's,"[{'ticker': 'MCD', 'relevance_score': '0.987581', 'ticker_sentiment_score': '-0.14105', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's to temporarily close all restaurants in Russia,20220308T184216,Fast-food chain was among American brands that became a symbol of the post-Soviet era,"[{'ticker': 'MCD', 'relevance_score': '0.571381', 'ticker_sentiment_score': '-0.004215', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's temporarily closes all of its locations in Russia.,20220308T185252,The move comes as individuals on social media and investors ramped up pressure on the fast-food giant to pull out of Russia.,"[{'ticker': 'MCD', 'relevance_score': '0.813451', 'ticker_sentiment_score': '0.013355', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's Shuts Down Russian Restaurants,20220308T185603,"McDonald's Corp.  ( NYSE: MCD )  has announced it is shutting down its Russian restaurants.
What Happened: In an internal memo, McDonald's CEO Chris Kempczinski acknowledged his company had 62,000 employees ""who have poured their hearts and souls into our McDonald's brand to serve their communities.","[{'ticker': 'MCD', 'relevance_score': '0.860547', 'ticker_sentiment_score': '-0.126756', 'ticker_sentiment_label': 'Neutral'}]"
"37 nations say Russia and Belarus ""should not be permitted to host"" any international sporting events",20220308T185900,"37 nations say Russia and Belarus ""should not be permitted to host"" any international sporting events Thirty-seven nations, including the United States, said in a joint statement Tuesday that Russia and Belarus ""should not be permitted to host, bid for, or be awarded any international sporting events"" in response to Russia's invasion of Ukraine. ""Russia's unprovoked and unjustifiable war of choice against Ukraine, enabled by the Belarusian government, is abhorrent and a flagrant breach of its international obligations. Respect for human rights and peaceful relations between nations form the foundation of international sport,"" according to the joint statement, which was ""was agreed upon by the ministers of sport or their equivalent."" The statement also said that ""individual athletes selected by Russia and Belarus, administrators and teams representing the Russian or Belarusian state should be banned from competing in other countries, including those representing bodies, cities or brands that are effectively representing Russia or Belarus, such as major football clubs,"" and ""wherever possible, appropriate actions should be taken to limit sponsorship and other financial support from entities with links to the Russian or Belarusian states."" The nations called on all international sporting federations to do the same. The statement also encouraged sports organizations ""not to sanction athletes, coaches or officials who decide to unilaterally terminate their contracts with Russian, Belarusian or Ukrainian clubs, as well as not to pursue or to sanction sport organizers which decide to ban athletes or teams selected by Russia or Belarus.""","[{'ticker': 'MCD', 'relevance_score': '0.187608', 'ticker_sentiment_score': '-0.11114', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's is temporarily shutting down its Russian restaurants,20220308T185900,"McDonald's is temporarily shutting down its Russian restaurants Big Mac hamburgers are seen at a McDonald's restaurant in Pushkin Square in Moscow in 2020.  ( Alexander Shcherbak/TASS via Getty Images )  McDonald's is temporarily closing its locations in Russia. ""McDonald's has decided to temporarily close all our restaurants in Russia and pause all operations in the market,"" CEO Chris Kempczinski said in a statement Tuesday. There were 847 locations of McDonald's in Russia at the close of last year, according to an investor document. Globally, most McDonald's locations are operated by franchise operators. But that's not the case in Russia, where 84% of locations are operated by the company, according to the document. Russia's restaurants, along with another 108 in Ukraine, all operated by McDonald's, accounted for 9% of the company's revenue in 2021, according to the document. ""In Russia, we employ 62,000 people who have poured their heart and soul into our McDonald's brand to serve their communities. We work with hundreds of local, Russian suppliers and partners who produce the food for our menu and support our brand,"" Kempczinski said. ""And we serve millions of Russian customers each day who count on McDonald's. In the thirty-plus years that McDonald's has operated in Russia, we've become an essential part of the 850 communities in which we operate."" But, he added, ""at the same time, our values mean we cannot ignore the needless human suffering unfolding in Ukraine."" Several Western companies across multiple industries have halted operations in Russia after the country's attack on Ukraine.","[{'ticker': 'MCD', 'relevance_score': '0.209801', 'ticker_sentiment_score': '-0.11114', 'ticker_sentiment_label': 'Neutral'}]"
Here's How Much You Would Have Made Owning McDonald's Stock In The Last 15 Years,20220308T190446,"McDonald's  ( NYSE:MCD )  has outperformed the market over the past 15 years by 3.93% on an annualized basis. 
Buying $100 In MCD: 15 years ago, an investor could have purchased 2.30 shares of McDonald's at the time with $100. This investment in MCD would have produced an average ...Full story avail","[{'ticker': 'MCD', 'relevance_score': '0.966426', 'ticker_sentiment_score': '0.04023', 'ticker_sentiment_label': 'Neutral'}]"
McDonald's Shuts 800 Restaurants In Russia Over Ukraine Invasion,20220308T192002,McDonald's had come under attack on social media for failing to take action as other companies had cut Russia ties.,"[{'ticker': 'MCD', 'relevance_score': '0.811029', 'ticker_sentiment_score': '-0.290459', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
US secretary of defense holds calls with European defense ministers about war in Ukraine,20220308T192200,"US secretary of defense holds calls with European defense ministers about war in Ukraine United States Secretary of Defense Lloyd Austin spoke with the Defense Ministers of Slovakia, the United Kingdom, and France amid the ongoing Russia-Ukraine crisis, a senior US defense official told reporters Tuesday. The calls were ""all centered around the war in Ukraine and what the United States is doing to continue to provide security assistance to Ukraine,"" the official said. ""He [Austin] thanked each of these leaders ... for their country's support to Ukraine, and for the assurance and deterrence measures they are all taking to help strengthen NATO's Eastern Flank,"" the official added.","[{'ticker': 'MCD', 'relevance_score': '0.214975', 'ticker_sentiment_score': '-0.11114', 'ticker_sentiment_label': 'Neutral'}]"
